acrylamide_density,toaster_energy,toaster_temperature,room_temperature,mean_red_0,stdev_red_0,mean_green_0,stdev_green_0,mean_blue_0,stdev_blue_0,mean_t_0,stdev_t_0,mean_red_1,stdev_red_1,mean_green_1,stdev_green_1,mean_blue_1,stdev_blue_1,mean_t_1,stdev_t_1,mean_red_2,stdev_red_2,mean_green_2,stdev_green_2,mean_blue_2,stdev_blue_2,mean_t_2,stdev_t_2,mean_red_3,stdev_red_3,mean_green_3,stdev_green_3,mean_blue_3,stdev_blue_3,mean_t_3,stdev_t_3,mean_red_4,stdev_red_4,mean_green_4,stdev_green_4,mean_blue_4,stdev_blue_4,mean_t_4,stdev_t_4,mean_red_5,stdev_red_5,mean_green_5,stdev_green_5,mean_blue_5,stdev_blue_5,mean_t_5,stdev_t_5,mean_red_6,stdev_red_6,mean_green_6,stdev_green_6,mean_blue_6,stdev_blue_6,mean_t_6,stdev_t_6,mean_red_7,stdev_red_7,mean_green_7,stdev_green_7,mean_blue_7,stdev_blue_7,mean_t_7,stdev_t_7,mean_red_8,stdev_red_8,mean_green_8,stdev_green_8,mean_blue_8,stdev_blue_8,mean_t_8,stdev_t_8,mean_red_9,stdev_red_9,mean_green_9,stdev_green_9,mean_blue_9,stdev_blue_9,mean_t_9,stdev_t_9
340.7603585,15,95,29.0,227.6030230708035,24.013350533712362,137.9892601431981,22.61365158798142,159.8514319809069,29.54448445747883,52.97297648785688,5.091520276647053,233.61681309904154,26.40526876183356,142.08506389776358,25.61597549905166,163.56176783812566,33.05403758879703,37.327792224448245,1.7768618326026573,232.06153129781148,25.928417806852547,141.42227100379165,25.21019389816652,160.5378833233553,32.39452043372051,32.95660527940627,0.7705850241660226,236.64651965993625,23.821191719187812,141.38403294367694,23.25624183682705,163.13097768331562,29.912669240382378,31.762494957712455,0.4784085000227029,218.7858182299246,23.239019400924164,128.99027649159942,22.470988735322106,147.6826961238259,29.537432323668565,30.871379581313565,0.3072227302017463,231.36659837419867,24.921702091437915,142.98757517678936,24.89786375039776,162.63293899940518,30.978565038609272,30.52914165441112,0.2757016349246096,231.75877163892022,23.7429213678374,148.59010413212178,22.383752071629385,164.69317503482125,30.25173573977243,30.38233073616512,0.31518667660294203,228.89359298152334,23.348597986571907,140.05303735212016,22.053178023119052,158.47481058088528,28.808133296212937,29.943676432856762,0.34381260593670754,243.432099587272,22.97327617092297,151.42910398082813,22.847835021151276,170.69511383304487,30.738500074927217,29.572899685036322,0.29766792884602433,240.44645109886463,23.73045701598097,147.62280061084923,23.669947021989415,167.63973175751943,30.79532185444304,30.06461680662655,0.43144402476307253
,10,95,29.5,234.10294430649165,19.253473683187494,144.6971975877971,19.272868624291586,164.04256828662648,25.08130865641326,39.89755276888673,2.4096385511135208,224.3420123260162,21.915911278597875,135.49096322969322,21.0469895316924,154.62578768783325,26.59131897900021,36.20287580323883,1.4134208550452534,229.64780656303972,23.726793433212595,139.25747841105354,21.807794993635227,161.38721934369602,26.621876852612928,32.06922125489547,0.5556739425270143,221.23063100421592,22.90610031187349,135.15889142304238,21.53198122007088,152.92439007533346,26.61928709965236,31.697750001870027,0.44615977141645413,218.7858182299246,23.239019400924164,128.99027649159942,22.470988735322106,147.6826961238259,29.537432323668565,30.871379581313565,0.3072227302017463,231.77928144535275,24.784026691951908,146.0340042591193,23.04545712064038,165.52813079618053,27.969958725139445,30.04694065553062,0.5058044345439955,234.49758720529437,22.82233519081965,148.97235626637254,21.10629757316168,168.77057769198953,27.20701880958473,29.577599187289163,0.5188135001229693,212.17361255097103,20.862208149843863,121.0033174372797,19.806524685649165,140.8041329739443,23.89212068820805,29.20276071278901,0.5868717540017027,225.1431427980418,23.563418655217276,126.41391436254568,23.48830548430441,149.1121836861339,27.92805849985964,29.336454351397283,0.6076845891332459,227.20957038071953,21.845527111008227,127.97652811735941,22.28438445796621,154.0690185120503,26.162622897258125,29.348033294268774,0.6256869910152919
252.1892964,15,95,26.3,236.3180464984406,23.463588217221268,125.36064644173518,25.19946375529304,144.12950099234476,30.207357290618095,63.60810086594066,9.733706803683104,236.70610469262587,21.789883430816307,127.364783910997,23.61834177799673,143.56603908144345,28.595193496966967,36.152825325179045,2.612555276940001,236.14990742059535,22.67960715911071,127.18287993163366,24.404776250874754,142.0596068936049,29.22774384845218,34.1251601617018,2.000061189697676,241.76864190530196,23.02613566521781,131.53210944145167,25.10475141667717,149.77842358945279,30.014061245069513,31.18450686134033,1.0558551195910335,237.55668934240362,23.322380581285476,128.53713151927437,24.79459915641658,145.3487811791383,29.75510791321675,29.92550275890516,0.6732435981370539,242.5984376119831,19.79369523245586,133.60302443918872,23.590774240829386,150.57378341575287,27.982310414274178,28.74832054461123,0.5448078053307559,240.23816978581087,22.492763680117374,130.65622998647976,23.684986777847485,145.631822386679,29.120565462997092,27.533008622802544,0.30175621999161817,239.59204796916268,22.42827664515794,120.71875223070883,23.686268671165532,138.64951102862446,28.08521482601037,26.99579981258353,0.28646486372634383,235.39306895319757,22.469886525701856,124.89439085387639,23.738611582461033,141.7902107895677,28.584478081661956,27.280527525485535,0.41536908381889237,235.15142385768596,22.100791190653826,125.8513736460799,23.55483729122295,145.05716950003585,28.21582035272427,26.763379613577616,0.48892226245369974
172.2910249,15,95,26.8,237.24322294298395,20.77140804749797,129.33683851143735,24.951680687089734,149.06671218846023,29.49074516994879,66.02585894918205,9.112562878165939,238.24672474106592,22.497162835055985,128.86898964263668,25.370204673022823,146.2275190342273,30.0252589543705,40.86993560850224,3.346007020585144,234.93015938162665,23.223780556990153,124.89670976126958,25.001076701268104,142.10773650728504,29.591312180262737,35.2652405009973,2.029357569504833,233.11515193180256,22.505040333308408,124.92052798020075,24.7505916448319,141.86704248590678,29.33319502328628,33.12247093270448,1.2909410545216242,243.39645132561486,21.631396018350834,131.12338151675002,24.511025141548934,149.45851887374118,29.536115899669742,30.82062333458421,0.7177884325538003,237.149839140256,23.832045458298374,122.19070436032582,25.023664202468062,141.16154425354233,29.596273484560225,30.01685512864513,0.43033403689210664,238.85053184141455,21.40400129991982,129.067136344799,23.517967935647288,148.039231938113,28.221282521231974,28.544581872612447,0.22308753134567522,236.69074569527336,21.793932670385367,126.59490978939425,23.282565546522086,144.3639294779447,28.077891680876256,27.869124564048835,0.33306465498661875,238.01910740153136,21.476122071295897,129.0047596054356,23.812430493518253,146.477478098917,28.086874482888156,27.532057182560507,0.3969582211969635,237.79094412331406,21.014381860848886,128.28516377649325,23.120256532585223,143.9009083402147,27.70093533814145,27.564140428318417,0.4652130037440521
285.5174966,15,95,27.1,230.08485966530506,23.494383979670687,125.75517195941494,23.149482754168766,151.95559362234815,29.0328829593386,27.64477317098359,0.679938745546538,241.80413782612004,26.8069205182237,150.22712405872062,28.63829798229611,176.40967521107476,34.78102783505302,27.513615651246507,0.40308802204328203,242.70309419080843,26.79124037307378,154.3528742605794,28.819241727899172,177.3164720157743,35.74708965070073,27.6616163019377,0.6174418095692303,215.0722200993504,27.261533198962393,108.1859380970577,26.56843509536982,136.26794038975927,29.75499059170122,27.485251812205156,0.35596276169620744,215.0377864643213,27.954822321018252,110.51352801410286,27.315309084716876,137.28696252011957,30.867935353664034,27.55795824959972,0.49344351016058846,221.3267783069596,28.405901027298864,119.3864648947611,28.495245315954246,147.43309264095868,31.794851780769807,27.478241663633547,0.3292009121953639,241.2361100467469,26.967158645458024,143.69399954019465,29.139940170231707,169.8806805119166,34.283206972132135,27.57043905554765,0.4804655844541007,204.5796350703572,25.106153900034116,93.9508272769445,22.717840063772492,123.36655327044998,25.82036583816662,27.60016885307091,0.5413929940354026,214.55520407375974,27.184667612262622,107.7483990432837,26.017535659909957,134.3593086953167,29.488682853501157,27.626582080316915,0.6005586511944632,243.60806314323298,25.96294635219969,149.71392091619592,28.866090978158017,174.33250793159482,34.50729490921303,27.48765343985967,0.33311343657179937
357.2200877,22,151,29.0,222.71243192362,32.09772430913352,115.91830834397902,29.760506366113464,120.03247495461575,32.77302380817429,85.31147921711553,12.587075406810762,229.01413855786708,30.504961646267496,111.05911263717768,28.295021363598735,122.13323907628089,31.095372519731125,40.80013778087165,2.520738430110963,220.91796206258988,28.71619258184105,104.8356502088612,25.764359148279382,107.53187701157296,29.00614937299346,35.6033474807314,1.5611196449418099,232.88390537399152,28.051505722313884,113.55517571448107,26.80740723776403,119.42369752495556,30.040686829723928,33.93590243470701,1.162830456954282,228.31703632493304,27.963662822664045,108.21520291148802,26.42302866832453,113.82002334683787,29.31611408699749,32.38596458971145,0.6572602430468064,227.36477069091393,25.84702769238938,137.68294949226788,25.839296443720794,157.2668082564545,31.323079208262417,30.365302698530385,0.24225955326686996,211.44064207650274,28.895939191753744,91.25922131147541,27.97088071011807,98.93661202185793,29.026426126173646,30.617320678600773,0.1708768149947841,215.71534139489435,21.77669379659117,139.98638084768535,22.284572509127514,152.4954806400391,28.219057477751793,27.57321722385204,0.8158338384377358,225.44677209557062,27.786061240132348,113.67399192168139,26.548623965953343,110.0198534948997,29.68706534164434,30.016919029765848,0.30018411481194607,226.87119187600214,30.55232876154729,114.24358631747728,29.47937919497124,114.31634152859434,33.31865881621695,30.168947846106793,0.3091676128671559
299.7274669,25,151,29.0,233.07928083327803,24.819331600273575,131.3190473031248,22.715339422847176,133.59417501492734,28.218462055551885,74.05390645019347,9.498200137092448,235.83420720780515,26.023313380342334,138.49810844892812,22.515734483593622,143.9246698081901,28.42844313107198,40.86532975277067,2.27278622472864,227.80752831445702,25.501163184010636,128.49487008660893,22.976444365247893,132.46628914057294,28.084614989129133,37.52742201071853,1.6863135638592424,239.09573687370738,24.67183185976362,128.49015945026352,23.37131889379816,140.48208686370003,28.17111306290676,34.72409778562424,1.0322744076307897,231.30865679605176,25.444077166372743,122.83346672002135,22.331704512581087,131.2877150860344,26.44930268872277,33.82019993603074,0.7348786660356268,234.32823151985028,25.126889656555715,120.82682796417592,21.92652528586845,128.92728244887047,26.735670472457603,31.23539628917634,0.4897727122064877,230.72575879666934,24.342368408596425,128.28364222401288,21.327054754957032,133.30553317217297,26.78145180208919,31.38272615712395,0.5714826269874427,220.9195164306706,25.674052286568415,110.84484370825541,23.338422779204343,119.76496126102057,26.935015327136753,30.872693398553444,0.4135951238640567,224.80996593413934,23.554997562410424,114.24540778839089,20.731831931577084,123.30973214882106,25.36385775752036,30.510970771868195,0.5104387612703181,223.40780853055222,24.2914821344764,115.25337611980211,21.417137754095002,124.9115523465704,25.50061148753957,30.52694271548886,0.5680701555500883
,24,151,26.25,241.3655557231187,23.971467647735327,97.55180214145679,27.30254361676157,88.73895340069372,31.279248121442578,83.51455439884005,13.105650466044905,241.36952093549604,23.767584705230934,99.28079969822709,27.138343569624787,92.13104488872123,31.70723461447948,43.64526862261358,3.922411046242389,237.93918358107598,24.65644262926703,95.14728740662491,26.5862753710113,88.28076661887874,30.244525559128455,36.37021979233233,2.0996129574082176,238.74010450685827,25.27867266479485,102.16074461136512,29.932756564987464,100.19314173742652,37.131504859892026,32.45748900835272,2.595815228111104,239.8495233772129,23.755531806730488,97.67128158571644,26.914645601712543,93.23384778332577,30.640998606764455,31.50606833045769,0.914705794355265,244.1232191573204,23.38894749518606,95.85616853591998,27.105478362330576,91.4699151257957,30.02806994403534,29.833501747258865,0.537470057648897,241.48710580049914,23.905732510281577,91.18135067685094,27.065116692196167,86.70558874688044,29.691018761551664,29.061239514866546,0.18844240676195084,239.740123178609,23.266572489048787,96.58952981823644,26.84369628755135,91.56158930449152,30.562148400993607,28.226521426799096,0.22677337466112898,237.44882600842865,24.27214258374173,94.79462673088501,26.986024624074993,90.2514298615292,30.28791822045361,28.402351360088883,0.24459969242632157,240.77864368677407,23.22974042630622,91.39512926189585,26.474146650447317,87.38284001498688,29.421415890951913,28.33970193874511,0.2712582142724596
373.6000965,24,151,27.0,243.18291083916083,21.884650237153433,117.99497377622377,26.518787943917495,120.43560606060606,35.39458012377768,86.77755389938785,15.282492350547635,240.41703839122485,21.339447948830966,114.98764168190128,26.17320023121498,116.57579524680074,33.96834765850583,45.053658399277566,4.228397067962198,237.7790103634506,21.58141152161404,111.28988468836666,25.844273568474204,111.73974602247847,34.81630164433714,37.79495293140487,2.690772485783882,221.26131792583925,59.72852680615542,122.86323411102173,30.058988116781528,137.88305419439772,40.54963920305642,27.595595382202063,0.5317261823160788,58.224191320987714,12.788918808474854,140.58847040303158,22.45006494630816,89.28572303892689,17.598656166929654,29.090908126326465,1.6223944873198934,235.25105515936545,22.129400505594916,105.74377819822442,26.020995132305064,112.55042934070732,33.26617901581932,27.610741731203426,0.7235840037635103,238.79618393157395,21.693735417316876,112.42342276482199,26.03577076654926,115.87162804298559,34.090068943297474,27.598781448137988,0.531033542459638,234.62461762563728,22.663341356908564,106.03823743627093,25.936570234964336,109.19978150036417,33.06788907147605,27.548961702540023,0.4165602299410415,243.9756205673759,22.245304500274468,123.61258865248227,26.102447287430795,124.18192755825734,34.8860828153203,27.711993287593085,0.7985299180033376,242.3255967682703,21.146130655131614,107.73463092177745,25.87741692451744,113.83767903048108,32.6433573989222,27.664134709771048,0.7304144829773782
326.2231323,25,151,27.45,214.90125968234096,24.11393130422593,80.72873797042485,28.878435741903708,90.06102808856897,30.935992482308027,27.594570389283685,0.6643726508256546,221.9686773143123,26.3624252518637,89.96154442549232,29.250683595028693,97.08768801364553,30.95855780730903,27.534264092272817,0.4125761257592979,224.85999204876757,31.022760771298987,95.54929764113437,35.30741365429372,106.77597402597402,39.08166910209076,27.55382829970457,0.7271851868658907,229.7503125,25.464141452292157,96.71734375,34.59603182366926,105.378828125,37.564030815751245,27.5452573074425,0.4737720405175606,225.21204575519414,26.213466746500753,88.15780873083807,30.01917780386507,95.42868259279433,32.725023993298166,27.488436215764025,0.35515309358671265,229.16123258890357,26.23563622943465,93.87012683837834,35.16758708695299,101.18613337483464,39.43898734231325,27.488643447105325,0.3488460923247948,223.29299412310547,26.347332688196737,87.65419115372718,30.018129822938167,98.76909990720692,32.2045332520099,27.468921793262464,0.29170546172758743,213.53794186959936,22.059980674843494,78.22835820895523,26.150950354681,90.36488609583661,27.80593744922249,27.617676280477923,0.6025652665891968,208.58085654107185,23.63316482436956,77.69295576878072,25.693452105068108,89.3142990872923,26.594337936482688,27.619238978650756,0.5929054670855618,199.13663535439795,23.361525014508658,66.58372797143079,23.626078728842263,79.11551898144555,24.097471935781993,27.597195738844682,0.5556434367944934
