SourceFile,Emissivity,SubjectDistance,AtmosphericTemperature,ReflectedApparentTemperature,IRWindowTemperature,IRWindowTransmission,RelativeHumidity,PlanckR1,PlanckB,PlanckF,PlanckO,PlanckR2,Real2IR,OffsetX,OffsetY,PiPX1,PiPX2,PiPY1,PiPY2,EmbeddedImageWidth,EmbeddedImageHeight,t_numpy_file,rgb_numpy_file
raw_data_source/RGBT_jpg/FLIR1018.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1018.npy,raw_data_source/RGB_npy/FLIR1018.npy
raw_data_source/RGBT_jpg/FLIR1020.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1020.npy,raw_data_source/RGB_npy/FLIR1020.npy
raw_data_source/RGBT_jpg/FLIR1022.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1022.npy,raw_data_source/RGB_npy/FLIR1022.npy
raw_data_source/RGBT_jpg/FLIR1024.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1024.npy,raw_data_source/RGB_npy/FLIR1024.npy
raw_data_source/RGBT_jpg/FLIR1026.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1026.npy,raw_data_source/RGB_npy/FLIR1026.npy
raw_data_source/RGBT_jpg/FLIR1028.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1028.npy,raw_data_source/RGB_npy/FLIR1028.npy
raw_data_source/RGBT_jpg/FLIR1030.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1030.npy,raw_data_source/RGB_npy/FLIR1030.npy
raw_data_source/RGBT_jpg/FLIR1032.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1032.npy,raw_data_source/RGB_npy/FLIR1032.npy
raw_data_source/RGBT_jpg/FLIR1034.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1034.npy,raw_data_source/RGB_npy/FLIR1034.npy
raw_data_source/RGBT_jpg/FLIR1036.jpg,0.95,5 m,20.0 C,20.0 C,20.0 C,1.0,50.0 %,12144.752,1337.5,1.65,-6137,0.013073633,1.4022262096405,0,-12,0,80,0,60,640,480,raw_data_source/T_npy/FLIR1036.npy,raw_data_source/RGB_npy/FLIR1036.npy
