fun_bit_1,fun_bit_2,fun_bit_3,fun_bit_4,acrylamide_density,avg_t_0,avg_t_1,avg_t_2,avg_t_3,avg_t_4,avg_t_5,avg_t_6,avg_t_7,avg_t_8,avg_t_9,avg_red_0-9,avg_green_0-9,avg_blue_0-9
1,0,0,0,0.34834250477428663,0.44266243992211673,0.32715786512770123,0.286723218145462,0.27364253812873224,0.26480500654429634,0.26215117123457204,0.2573548819276224,0.2532713360027678,0.24939698354998263,0.25387443643139057,0.6210932837852899,0.2128837192748297,0.304852523861844
1,0,0,0,,0.33816073218861153,0.3101277153841504,0.27551030268653315,0.27196458825778164,0.26480500654429634,0.2562817613811038,0.25077347874675177,0.24771335384458615,0.25020313601427435,0.24957884103124167,0.6175180953826402,0.2053255168897963,0.2923532397750444
1,0,0,0,0.463123333910184,0.5244851172868534,0.31362021633876763,0.2964727279137106,0.26814269698182946,0.25651850349628763,0.24637311537363973,0.2324558002096626,0.22735171847985441,0.22873747771504263,0.2240171441897144,0.7105876390140274,0.19236342854092672,0.2835157682646275
1,0,0,0,0.3992650749473856,0.52223515242542,0.3440799058651399,0.30070887761521325,0.2760966628882956,0.2583018355580875,0.2511191635108727,0.2375281406158646,0.2309939302082673,0.2276764286978839,0.22756468987013076,0.7044448870704388,0.18891249701994295,0.28482445096559267
1,0,0,0,0.3986522467756614,0.23265935018430517,0.23635996995810332,0.23700740776709384,0.2277812019461709,0.23361378171141295,0.2320604925411213,0.23252501174803736,0.22898880403510777,0.23291212059390662,0.22955031031384557,0.5729136738908202,0.1584616404936716,0.26094636031856255
0,1,0,0,0.3574378074105294,0.6872995318947714,0.36972792186929787,0.3204913604706743,0.30233848408291525,0.2837243174313655,0.2580648276425379,0.26243277188187053,0.2326954265416931,0.2549496456831026,0.2560481346401072,0.622231742463592,0.18830758303245,0.2589909722901399
0,1,0,0,0.3992839957454659,0.6576148338311059,0.3545357787737004,0.3282907056903369,0.298713774738789,0.29331514741175385,0.26860672523929785,0.2677625714780723,0.2618347172457562,0.2583503728683446,0.25727445587696895,0.602371470147542,0.17209836189696767,0.24055696445907312
0,1,0,0,,0.696416489921704,0.38843879023364325,0.3197702026660162,0.29216627768955694,0.2745692663396555,0.2598124620780907,0.24985008656080743,0.23997446351776733,0.2394001106917813,0.23993205578754961,0.7090661751857293,0.15413002820563426,0.21628784512219254
0,1,0,0,0.4115175213308173,0.7425252429612346,0.40223638215952956,0.3359013088593616,0.22829146870427905,0.22833193755253386,0.2313290869078953,0.22764848036886434,0.22618736279314253,0.23031557328042837,0.23096731615628,0.7067931925052673,0.16664835374451403,0.23614589131406868
0,1,0,0,0.47615536106665196,0.2297335393685471,0.23025315435014715,0.2301129591838557,0.22706197475000706,0.22748543463689114,0.22665204614126783,0.22831502073792598,0.22953804743346062,0.2282480408627117,0.23393645905897445,0.6826353724341183,0.16112955906458007,0.23896316308326862
0,0,1,0,0.3984115382237839,0.6157390808399558,0.3870891837862833,0.32712651690068245,0.2946887287408302,0.2833563876946062,0.2719815653224525,0.26662659953926227,0.2641104705256073,0.2587473556760258,0.2431646978549194,0.5804105359687473,0.1295386614932995,0.19237859783082278
0,0,1,0,0.4364683831245689,0.8281148719357593,0.4365683892625711,0.3528820537685415,0.30915588408813827,0.28837205724666237,0.28228166844312436,0.26816753376355795,0.26594385687530364,0.26324238776584535,0.26669763595219953,0.4581901038340397,0.076161947425168,0.14341657069239463
0,0,1,0,,0.5633288412353017,0.3826536937233926,0.3173258677498732,0.29489626348525155,0.27785739759993183,0.2706233512460449,0.26760516318683586,0.26184042025562493,0.2559697334847886,0.2454433368367113,0.6543819773589337,0.19769574786907274,0.2816525529450672
0,0,1,0,0.49666289691579385,0.2318291106390097,0.2263824495391334,0.2323369604002106,0.23432186757732715,0.23245293192692656,0.23234443324641402,0.24004322717519724,0.24051350510748165,0.22670067725751109,0.22556057783943603,0.5205532863594635,0.08879199799431024,0.16791382238188077
0,0,1,0,0.5137960766424113,0.22996455567113616,0.22753458560291281,0.22702485384838525,0.2318066263075618,0.22646056766499886,0.22935057758157007,0.22820284233820462,0.22684289230100274,0.22695396248747254,0.22900089815181293,0.5563681386523078,0.09166478238750886,0.1739886511803508
0,0,0,1,1.0,0.7765035563737792,0.38749339775191144,0.34303854807783196,0.31452663730342983,0.29869203966979707,0.2853072372671979,0.2725122810922681,0.2698126589647322,0.2738571174967911,0.27161926598343666,0.11999065538490047,0.020040902732372447,0.06439825433554906
0,0,0,1,0.6560338036765061,0.7459000222885801,0.4500787243793261,0.3659663220824495,0.33440057052932526,0.3019627752671816,0.28978000308619234,0.2760181454383308,0.2707357288871855,0.269305248893709,0.267499688647755,0.15804435993904112,0.029901258661995257,0.07292995008244739
0,0,0,1,0.7269146249409298,0.9319005648698406,0.45597441365612684,0.3563357715346606,0.33507144063671246,0.3107239820628795,0.29530116291483577,0.2747048317307364,0.2584688928916694,0.24828059199520408,0.263388813976696,0.15584921469573004,0.02391562391884833,0.07485615674537878
0,0,0,1,0.6923576155150643,1.0,0.47767028681383894,0.3862692376502283,0.33821760524081823,0.31105341277508985,0.2900845229183002,0.26908575418324404,0.2638743894367946,0.2571937717674088,0.25386207815859,0.1264446599595773,0.011552841729255064,0.055801535404340366
0,0,0,1,,0.2295091037696472,0.23323476349472785,0.2285776041723599,0.22865275743024607,0.23008379568018317,0.23045224743248247,0.22695597735535106,0.22577655013030984,0.22898078834711996,0.22625822234682363,0.11869077823502448,0.011663117596633745,0.05716283907251404
