acrylamide_density,toaster_energy,toaster_temperature,room_temperature,burnt_pixels_ratio,mean_grey_9,stdev_grey_9,mean_red_9,stdev_red_9,mean_green_9,stdev_green_9,mean_blue_9,stdev_blue_9,mean_t_0,stdev_t_0,mean_t_1,stdev_t_1,mean_t_2,stdev_t_2,mean_t_3,stdev_t_3,mean_t_4,stdev_t_4,mean_t_5,stdev_t_5,mean_t_6,stdev_t_6,mean_t_7,stdev_t_7,mean_t_8,stdev_t_8,mean_t_9,stdev_t_9
340.7603585,15,95,29.0,0.0002655866144346325,177.63495761237633,23.908286001375508,240.44645109886463,23.73045701598097,147.62280061084923,23.669947021989415,167.63973175751943,30.79532185444304,51.09124662693241,5.202872253813903,36.77505792416065,2.2859000563633636,32.735916149570045,0.8059393776745573,31.78150191317194,0.46685604270501996,30.90207420613248,0.2955523946122356,30.80886893220657,0.24107467954209372,30.52959895226598,0.47090154213719126,29.958670143491716,0.3720869852354268,29.68058264085542,0.424459507818546,30.06461680662655,0.43144402476307253
,10,95,29.5,0.0018861334264757249,160.59903070206076,22.09927340877542,227.20957038071953,21.845527111008227,127.97652811735941,22.28438445796621,154.0690185120503,26.162622897258125,39.55528859043089,2.6471222515713633,35.6876349804611,1.7126838359798904,32.035719112630325,0.472871370721852,31.715044480931347,0.4265558837147612,30.951932916745662,0.2783980499485322,30.23749396442837,0.7745277659145519,29.596831551332727,0.5429482189302334,29.513473953882116,0.9096926863261474,29.470023395281213,0.7742270925488116,29.348033294268774,0.6256869910152919
252.1892964,15,95,26.3,0.0031561580948282044,160.69803424431535,22.803069439174084,235.15142385768596,22.100791190653826,125.8513736460799,23.55483729122295,145.05716950003585,28.21582035272427,58.9757777317133,15.228854359147315,36.07018703781472,2.768801487396851,33.91370867977449,2.2522780655766033,30.93175721364658,1.4855798219922325,29.761873687550217,0.9594132962885057,28.690077820465795,0.698107651778273,27.591106134453007,0.3734739901190684,27.084555568330835,0.40787028392705854,27.405759837863226,0.7328134560084779,26.763379613577616,0.48892226245369974
172.2910249,15,95,26.8,0.0009633911368015414,162.78380788604457,22.224336659260107,237.79094412331406,21.014381860848886,128.28516377649325,23.120256532585223,143.9009083402147,27.70093533814145,60.453228525925496,14.64104576025769,40.25776915677679,3.9588972462888434,35.25464330547495,1.9072135678472215,33.210590887420004,1.1038885986618132,30.88084604112236,0.6170027268391517,30.017936358078337,0.4306068317150016,28.66141422593897,0.4152121197855906,27.920982092532572,0.44871464800208266,27.564140428318417,0.4652130037440521,27.564140428318417,0.4652130037440521
285.5174966,15,95,27.1,0.0008511955428306121,180.57042755552118,27.905496216964796,243.60806314323298,25.96294635219969,149.71392091619592,28.866090978158017,174.33250793159482,34.50729490921303,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937,27.48765343985967,0.33311343657179937
357.2200877,22,151,29.0,0.009286477819347942,147.90484735435595,28.481467270976967,226.87119187600214,30.55232876154729,114.24358631747728,29.47937919497124,114.31634152859434,33.31865881621695,79.30363307549601,12.142151997336255,38.24971022150834,6.025639012857164,35.43178761873142,1.8270401753789574,33.54478272003849,1.4276292815347074,32.373528035641826,0.6685017247128013,30.389761802431774,0.4531570877934605,30.676356185394067,0.20260981553587368,27.734369573021496,1.08061138983646,30.24346857047166,0.5350402887332817,30.168947846106793,0.3091676128671559
299.7274669,25,151,29.0,0.004011231448054553,148.67024271961492,21.16489211243842,223.40780853055222,24.2914821344764,115.25337611980211,21.417137754095002,124.9115523465704,25.50061148753957,73.17677072111076,10.807825840442057,40.47538241042978,2.828899832884819,37.25457327968468,1.8617817576611206,34.72616913454743,1.053623805280999,33.734662635104286,0.6932117187609957,31.28677216005453,0.5462600081191582,31.29961615326572,0.509061698324597,30.810478411681704,0.3516063350027753,30.574402148854407,0.6028259301940666,30.52694271548886,0.5680701555500883
,24,151,26.25,0.0032221805919820158,135.57932123641814,23.19359666123522,240.77864368677407,23.22974042630622,91.39512926189585,26.474146650447317,87.38284001498688,29.421415890951913,77.9329755127243,20.15575493728296,43.589881422792295,3.9694099679186676,35.896221798406046,2.7160947513352864,33.33885365081943,1.3538419413528135,31.37343681085541,1.0515431325628797,29.67611471917735,0.6677938770153565,29.040683292667076,0.25494590582461946,28.22383875632973,0.2809245737427052,28.385759793732905,0.21906883628570328,28.33970193874511,0.2712582142724596
373.6000965,24,151,27.0,0.0029379360998898272,148.6488446345942,23.368643487780954,242.3255967682703,21.146130655131614,107.73463092177745,25.87741692451744,113.83767903048108,32.6433573989222,75.89645937364674,24.59071722465762,40.392589424866934,8.225017853586541,35.57536800878019,4.5047379825079705,27.664134709771048,0.7304144829773782,27.664134709771048,0.7304144829773782,27.664134709771048,0.7304144829773782,27.664134709771048,0.7304144829773782,27.664134709771048,0.7304144829773782,27.664134709771048,0.7304144829773782,27.664134709771048,0.7304144829773782
326.2231323,25,151,27.45,0.004269854824935952,107.62575779054421,20.933861299710177,199.13663535439795,23.361525014508658,66.58372797143079,23.626078728842263,79.11551898144555,24.097471935781993,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934,27.597195738844682,0.5556434367944934
309.6694698,30,184,29.0,0.006984334203655352,113.9492326762402,29.43981401915131,208.97872062663185,25.96794451797312,72.88955613577023,34.257168570935654,76.30985639686683,30.52929521456262,67.8251480563281,7.6537951355063285,43.737834214135134,2.5444271862021783,37.14801044436167,1.7425404651310843,34.12503323470763,0.9879255176614291,33.095920224075314,0.7272223325453575,31.941033009667954,0.4078245727771011,31.5683296609714,0.2656566410364109,31.135300422156803,0.2771757570266055,30.496700823180763,0.33336188421167906,28.777046828314546,0.2310073239355278
306.9462959,30,184,29.0,0.14425238898257448,88.8157562464868,37.24167194193454,185.79405564924116,44.219063315554905,46.043142214727375,37.98729624663829,54.864811691961776,35.976740793747304,69.32926655867675,32.284925353494096,38.78488075751437,7.358935652336759,34.754229981439494,3.217000361240065,32.92857036749345,1.429377692835525,32.30882673089853,0.5214412441458682,32.19642557575237,0.32972670668141735,31.404679961295464,0.19665056767135863,31.68316420377587,0.4279213444400285,31.317027927909997,0.3283915383925639,31.357970465384554,0.2937166364952608
,30,184,29.5,0.0006264192310703939,160.468991433717,20.133547936662676,240.47325972907367,21.165062704210357,124.24085819434657,21.293069532875624,137.38728368960926,26.53153525080958,62.34120091150411,13.3762688848451,43.14088048887115,3.0140839873940846,36.547049639025595,1.4255994551904778,34.05178159756812,1.0781273146185444,32.40568426565478,0.7252837182756192,31.58575523647613,0.6436535775107278,31.542552224514644,0.3374206406111097,31.129245702253947,0.3425824795635792,30.352557118258407,0.5466643054444027,29.08907162345655,0.46621942164479874
456.5650675,29,184,26.8,0.024762752075919336,107.02526285587187,28.792706302586364,206.88953143534994,30.507434241954616,61.748072360616845,31.235815226560618,78.4198546856465,29.04602659489935,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638,27.64558245917416,0.5981171361725638
378.2653163,29,184,27.4,0.007379481832036576,124.9578253629582,33.88905647771114,228.8066094489452,30.873285549136046,78.8946819603754,39.375520273498516,89.9679955081415,34.99889446993849,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454,27.466975649121583,0.2496970891126454
